Area/volume,Max/min,org_coating_HAcceptors,org_coating_LogP,common_spin,Eff_anisotropy_const,Magnetic_anisotropy,Magnetocrystalline_anisotropy,Anisotropy constant ,Crystalline,MAE,Curie_temperature,Spehricity,Exchange_constant,Electronegativity core,Space group,Demagnetization_factors,Saturation_magnetization,Coercivity,Remanence_magnetization,Interdomain_coupling,M_magnetic_susceptibility
0.125,0.000,1.000,0.326,0.400,1.707,0.000,0.000,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.074,0.499,0.044,0.000,0.067
0.125,0.000,1.000,0.326,0.400,1.707,0.000,0.000,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.074,0.499,0.044,0.000,0.067
0.375,0.000,0.000,0.330,0.400,0.224,0.000,0.038,0.669,0.000,0.448,0.289,1.000,0.636,0.869,1.000,1.000,0.064,1.112,0.005,0.000,0.067
0.375,0.000,0.000,0.330,0.400,0.224,0.000,0.038,0.669,0.000,0.448,0.289,1.000,0.636,0.869,1.000,1.000,0.064,1.112,0.005,0.000,0.067
0.375,0.000,0.000,0.330,0.400,0.224,0.000,0.038,0.669,0.000,0.448,0.289,1.000,0.636,0.869,1.000,1.000,0.064,1.112,0.005,0.000,0.067
0.195,0.000,0.000,0.330,0.400,0.224,0.000,0.002,0.669,1.000,0.760,0.485,1.000,0.636,0.869,1.000,1.000,0.123,-5.199,0.000,0.000,0.067
0.200,0.000,0.111,0.653,0.400,0.744,0.000,0.002,0.669,1.000,0.760,0.495,1.000,0.636,0.869,1.000,1.000,0.064,0.390,0.286,0.000,0.067
0.326,0.000,0.000,0.330,0.400,1.316,0.000,0.000,0.519,0.000,0.760,0.488,1.000,0.636,0.869,1.000,1.000,0.042,0.226,0.138,0.000,0.067
0.326,0.000,0.000,0.330,0.400,1.316,0.000,0.000,0.519,0.000,0.760,0.488,1.000,0.636,0.869,1.000,1.000,0.042,0.226,0.138,0.000,0.067
0.731,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.448,0.489,0.985,0.636,0.869,1.000,1.000,0.095,2.215,0.234,0.000,0.067
0.217,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.489,1.000,0.636,0.869,1.000,1.000,0.095,2.215,0.234,0.000,0.067
0.731,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.448,0.489,0.985,0.636,0.869,1.000,1.000,0.095,2.215,0.234,0.000,0.067
0.217,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.489,1.000,0.636,0.869,1.000,1.000,0.031,1.803,0.060,0.000,0.067
0.122,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.489,1.000,0.636,0.869,1.000,1.000,0.170,1.945,0.277,0.000,0.067
0.093,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.489,1.000,0.636,0.869,1.000,1.000,0.061,2.498,0.151,0.000,0.067
0.066,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.489,1.000,0.636,0.869,1.000,1.000,0.031,1.803,0.060,0.000,0.067
0.122,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.489,1.000,0.636,0.869,1.000,1.000,0.170,1.945,0.277,0.000,0.067
0.093,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.489,1.000,0.636,0.869,1.000,1.000,0.061,2.498,0.151,0.000,0.067
0.066,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.489,1.000,0.636,0.869,1.000,1.000,0.031,1.803,0.060,0.000,0.067
0.214,0.000,0.000,0.330,0.933,0.874,0.000,0.040,0.035,0.000,0.760,0.488,1.000,0.636,0.869,1.000,1.000,0.095,2.215,0.234,0.000,0.067
0.009,0.000,0.000,0.330,0.933,1.707,0.000,0.074,0.669,0.000,0.287,0.488,1.000,0.636,0.869,1.000,1.000,0.133,2.008,0.207,0.000,0.067
0.009,0.000,0.000,0.330,0.933,0.224,0.000,0.074,0.669,0.000,0.287,0.488,1.000,0.636,0.869,1.000,1.000,0.133,2.008,0.207,0.000,0.067
1.000,0.000,0.000,0.330,0.933,0.224,0.000,0.074,0.519,0.000,0.448,0.488,1.000,0.636,0.869,1.000,1.000,0.047,0.881,0.004,0.000,0.067
0.750,0.000,0.000,0.330,0.933,0.224,0.000,0.074,0.519,0.000,0.448,0.488,1.000,0.636,0.869,1.000,1.000,0.060,0.773,0.006,0.000,0.067
0.750,0.000,0.000,0.330,0.933,0.224,0.000,0.074,0.519,0.000,0.448,0.488,1.000,0.636,0.869,1.000,1.000,0.132,1.204,0.041,0.000,0.067
0.750,0.000,0.000,0.330,0.933,1.707,0.000,0.074,0.519,0.000,0.448,0.488,1.000,0.636,0.861,1.000,1.000,0.049,0.842,0.006,0.000,0.067
0.600,0.000,0.000,0.330,0.933,0.224,0.000,0.074,0.519,0.000,0.448,0.488,1.000,0.636,0.869,1.000,1.000,0.080,0.914,0.013,0.000,0.067
