Area/volume,Max/min,org_coating_HAcceptors,org_coating_LogP,common_spin,Eff_anisotropy_const,Magnetic_anisotropy,Magnetocrystalline_anisotropy,Anisotropy constant ,Crystalline,MAE,Curie_temperature,Spehricity,Exchange_constant,Electronegativity core,Space group,Demagnetization_factors,Saturation_magnetization,Coercivity,Remanence_magnetization,Interdomain_coupling,M_magnetic_susceptibility
0.150,0.000,0.889,0.044,0.400,0.156,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,0.627,0.110,0.307,0.000,0.067
0.150,0.000,0.889,0.044,0.400,0.156,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,0.627,0.110,0.307,0.000,0.067
0.150,0.000,0.889,0.044,0.400,0.156,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,0.627,0.110,0.307,0.000,0.067
0.150,0.000,0.889,0.044,0.400,0.156,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,0.627,0.110,0.307,0.000,0.067
0.375,0.000,0.000,0.330,0.400,0.008,0.000,0.038,0.952,0.0,0.448,0.289,1.0,0.636,0.869,1.0,1.000,-0.658,1.112,0.005,0.000,0.067
0.375,0.000,0.000,0.330,0.400,0.008,0.000,0.038,0.952,0.0,0.448,0.289,1.0,0.636,0.869,1.0,1.000,-0.658,1.112,0.005,0.000,0.067
0.375,0.000,0.000,0.330,0.400,0.008,0.000,0.038,0.952,0.0,0.448,0.289,1.0,0.636,0.869,1.0,1.000,-0.658,1.112,0.005,0.000,0.067
0.195,0.000,0.000,0.330,0.400,0.008,0.000,0.002,0.952,1.0,0.760,0.485,1.0,0.636,0.869,1.0,1.000,1.780,-5.199,0.000,0.000,0.067
0.200,0.000,0.111,0.653,0.400,0.029,0.000,0.002,0.952,1.0,0.760,0.495,1.0,0.636,0.869,1.0,1.000,-0.697,0.390,0.286,0.000,0.067
0.326,0.000,0.000,0.330,0.400,0.048,0.000,0.000,0.680,0.0,0.760,0.488,1.0,0.636,0.869,1.0,1.000,-1.129,0.226,0.138,0.000,0.067
0.326,0.000,0.000,0.330,0.400,0.048,0.000,0.000,0.680,0.0,0.760,0.488,1.0,0.636,0.869,1.0,1.000,-1.129,0.226,0.138,0.000,0.067
0.731,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.448,0.489,0.9846625766871164,0.636,0.869,1.0,1.000,0.335,2.215,0.234,0.000,0.067
0.217,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.489,1.0,0.636,0.869,1.0,1.000,0.335,2.215,0.234,0.000,0.067
0.731,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.448,0.489,0.9846625766871164,0.636,0.869,1.0,1.000,0.335,2.215,0.234,0.000,0.067
0.217,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.489,1.0,0.636,0.869,1.0,1.000,-1.302,1.803,0.060,0.000,0.067
0.122,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.489,1.0,0.636,0.869,1.0,1.000,2.215,1.945,0.277,0.000,0.067
0.093,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.489,1.0,0.636,0.869,1.0,1.000,-0.789,2.450,0.151,0.000,0.067
0.066,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.489,1.0,0.636,0.869,1.0,1.000,-1.302,1.803,0.060,0.000,0.067
0.122,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.489,1.0,0.636,0.869,1.0,1.000,2.215,1.945,0.277,0.000,0.067
0.093,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.489,1.0,0.636,0.869,1.0,1.000,-0.789,2.450,0.151,0.000,0.067
0.066,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.489,1.0,0.636,0.869,1.0,1.000,-1.302,1.803,0.060,0.000,0.067
0.214,0.000,0.000,0.330,0.933,0.032,0.000,0.040,0.035,0.0,0.760,0.488,1.0,0.636,0.869,1.0,1.000,0.335,2.215,0.234,0.000,0.067
0.009,0.000,0.000,0.330,0.933,0.105,0.000,0.074,0.952,0.0,0.287,0.488,1.0,0.636,0.869,1.0,1.000,2.121,2.008,0.207,0.000,0.067
0.009,0.000,0.000,0.330,0.933,0.008,0.000,0.074,0.952,0.0,0.287,0.488,1.0,0.636,0.869,1.0,1.000,2.121,2.008,0.207,0.000,0.067
1.000,0.000,0.000,0.330,0.933,0.008,0.000,0.074,0.680,0.0,0.448,0.488,1.0,0.636,0.869,1.0,1.000,-1.092,0.881,0.004,0.000,0.067
0.750,0.000,0.000,0.330,0.933,0.008,0.000,0.074,0.680,0.0,0.448,0.488,1.0,0.636,0.869,1.0,1.000,-0.798,0.773,0.006,0.000,0.067
0.750,0.000,0.000,0.330,0.933,0.008,0.000,0.074,0.680,0.0,0.448,0.488,1.0,0.636,0.869,1.0,1.000,2.061,1.204,0.041,0.000,0.067
0.750,0.000,0.000,0.330,0.933,0.105,0.000,0.074,0.680,0.0,0.448,0.488,1.0,0.636,0.968,1.0,1.000,-1.068,0.842,0.006,0.000,0.067
0.600,0.000,0.000,0.330,0.933,0.008,0.000,0.074,0.680,0.0,0.448,0.488,1.0,0.636,0.869,1.0,1.000,-0.189,0.914,0.013,0.000,0.067
0.300,0.000,0.000,0.330,0.933,0.008,0.000,0.074,0.680,0.0,0.448,0.488,1.0,0.636,0.869,1.0,1.000,-0.078,-5.199,0.000,0.000,0.067
0.146,0.000,0.000,0.330,0.933,0.008,0.000,0.074,0.680,0.0,0.760,0.488,1.0,0.636,0.869,1.0,1.000,5.199,-5.199,0.000,0.000,0.067
0.261,0.000,0.000,0.330,0.933,0.008,0.000,0.074,0.680,0.0,0.760,0.488,1.0,0.636,0.869,1.0,1.000,-0.078,-5.199,0.000,0.000,0.067
0.750,0.000,0.000,0.330,0.933,0.008,0.000,0.000,0.680,0.0,0.448,0.488,1.0,0.636,0.968,1.0,1.000,-0.835,0.867,0.005,0.000,0.067
0.075,0.000,0.444,0.230,0.314,0.033,0.008,0.036,0.060,0.0,0.880,0.280,1.0,1.000,0.873,0.6177777777777779,1.000,-0.454,0.249,0.004,0.000,0.267
0.075,0.000,0.444,0.230,0.314,0.033,0.008,0.036,0.060,0.0,0.880,0.280,1.0,1.000,0.873,0.6177777777777779,1.000,-0.454,0.249,0.004,0.000,0.267
0.075,0.000,0.444,0.230,0.314,0.033,0.008,0.036,0.060,0.0,0.880,0.280,1.0,1.000,0.873,0.6177777777777779,1.000,-0.454,0.249,0.004,0.000,0.267
0.003,0.096,0.000,0.330,0.133,0.033,0.008,0.036,0.060,0.0,0.287,0.280,1.0,1.000,0.748,0.6177777777777779,1.000,-2.498,-5.199,0.000,0.019,0.267
0.003,0.096,0.000,0.330,0.133,0.033,0.008,0.036,0.060,0.0,0.287,0.280,1.0,1.000,0.748,0.6177777777777779,1.000,-2.498,-5.199,0.000,0.019,0.267
0.214,0.000,0.000,0.330,0.133,0.033,0.034,0.036,0.060,0.0,1.000,0.280,1.0,1.000,0.748,1.0,1.000,-1.177,0.484,0.002,0.000,1.000
0.214,0.000,0.000,0.330,0.133,0.033,0.034,0.036,0.060,0.0,1.000,0.280,1.0,1.000,0.748,1.0,1.000,-2.300,0.263,0.002,0.000,1.000
0.187,0.000,0.000,0.330,0.214,0.013,0.258,0.002,0.095,0.0,0.287,0.411,1.0,0.476,0.838,1.0,1.000,0.056,0.786,0.000,0.038,0.267
0.187,0.000,0.000,0.330,0.214,0.013,0.258,0.002,0.095,0.0,0.287,0.411,1.0,0.476,0.838,1.0,1.000,0.056,0.786,0.000,0.038,0.267
0.043,0.000,0.000,0.330,0.400,0.006,0.000,0.002,0.867,0.0,0.050,0.535,1.0,0.651,0.861,1.0,1.000,0.078,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,0.006,0.000,0.002,0.867,0.0,0.050,0.535,1.0,0.651,0.861,1.0,1.000,0.078,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,0.006,0.000,0.002,0.867,0.0,0.050,0.535,1.0,0.651,0.861,1.0,1.000,0.078,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,0.006,0.000,0.002,0.867,0.0,0.050,0.535,1.0,0.651,0.861,1.0,1.000,0.078,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,0.006,0.000,0.002,0.867,0.0,0.050,0.535,1.0,0.651,0.861,1.0,1.000,0.078,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,0.006,0.000,0.002,0.867,0.0,0.050,0.535,1.0,0.651,0.861,1.0,1.000,0.078,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,0.006,0.000,0.002,0.867,0.0,0.050,0.535,1.0,0.651,0.861,1.0,1.000,0.078,-5.199,0.000,0.038,0.000
0.043,0.000,0.000,0.330,0.400,0.006,0.000,0.002,0.867,0.0,0.050,0.535,1.0,0.651,0.861,1.0,1.000,0.078,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,0.006,0.000,0.000,0.867,0.0,0.050,0.535,1.0,0.634,0.861,1.0,1.000,-0.272,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,0.006,0.000,0.000,0.867,0.0,0.050,0.535,1.0,0.634,0.861,1.0,1.000,-0.272,-5.199,0.000,0.038,0.000
0.088,0.000,0.000,0.330,0.400,0.006,0.000,0.000,0.867,0.0,0.050,0.535,1.0,0.634,0.861,1.0,1.000,-0.272,-5.199,0.000,0.038,0.000
